artist,song,video
  Bluebird , Way Beyond,Tony Hawk's Secret Skatepark Tour 2
 Komeda , Victory Lane,Neighbours
 Fluid Ounce , Unleashed,The Reality of Bob Burnquist
 Ananda & Bob Burnquist , Just Jump,The Reality of Bob Burnquist
 Pailhead , I Will Refuse,Zero - Misled Youth
 Iron Maiden , Prowler,Zero - Misled Youth
 Tenterhooks , Daredevil,Transworld - Interface
 Dead Kennedys , Moon Over Marin,Transworld - Interface
 The Faint , Typing: 1974,Transworld - Interface
 Ozzy Osbourne , I Don't Know (live),Plan B - Virtual Reality
 Steve Miller Band , Serenade,Plan B - Virtual Reality
 Zafra , Skateboard Shuffle,MSM - Mission Street Battle
 The Forecast , Sleep Tight Tonight,MSM - Mission Street Battle
 Era , Ameno RMX,Deca - Sneak Preview
 Nick Freitas , All The Time Int The World,Thrasher - Jaded
  Sadat X , Ka,Zoo York - E.S.T
 Gustavo Santaolalla , Apertura,Project Hardware - Deconstruction
 Blonde Redhead , Elephant Woman,Project Hardware - Deconstruction
 Black Flag , My War,Blind - Video Days
 John Coltrane with the Red Garland Trio , Traneing In,Blind - Video Days
 Dinosaur Jr. , Just Like Heaven,Blind - Video Days
  The Richmond Sluts , Sad City,Thrasher - Go For Broke
  G.G. Allin , Bored To Death,Thrasher - Go For Broke
  Smashing Pumpkins , Obscured,Eastern Exposure 3: Underachievers
  Artifacts , C'Mon Wit Da Git Down,Eastern Exposure 3: Underachievers
 The Concretes , Ooh La La,Another Trauma
 Mark Knopfler , What It Is,Another Trauma
 Sepultura , Symptom Of The Universe,Church of Skatan - Santa Barbara
 Youth Brigade , Sink With California,Church of Skatan - Santa Barbara
 Frank Black , Tossed (instrumental),411VM - Issue 38
 The Wiseguys , Re,411VM - Issue 38
 Misfits , Night of the Living Dead,Birdhouse - The End
 Charlie Gaspadarek , Pins & Needles,Birdhouse - The End
 Charlie Gaspadarek , Scene,Birdhouse - The End
 Stars , Ageless Beauty,35th Avenue - Apples & Oranges
  Tortoise , Tin Cans And Twine,Stereo - Tincan Folklore
 P.W. Esquire , Sco Dwellers,Thrasher - Timebomb
 Sacred Hoop , Monet,Thrasher - Timebomb
 Sacred Hoop , Girls Are Dope,Thrasher - Timebomb
  Chinatown , Revolution Love,Tony Hawk's Secret Skatepark Tour 2
  Beef Wellington , Our People,Tony Hawk's Secret Skatepark Tour 2
 Sniff 'n' the Tears , Driver's Seat,Neighbours
 Selectracks , Ralphanator,The Reality of Bob Burnquist
 Drunk Injuns , Lotta Kill,Zero - Misled Youth
 Modest Mouse , Shit Luck,Zero - Misled Youth
 Buzzkill , Video,Transworld - Interface
 Kiss , Detroit Rock City,Plan B - Virtual Reality
 Plantlife , Your Love (feat. Dena Deadly),MSM - Mission Street Battle
 Shy FX & Power , Everyday (feat. Top Cat),MSM - Mission Street Battle
 The Buzzcocks , Harmony In My Head,Project Hardware - Deconstruction
 Caribou , Pelican Narrows,Project Hardware - Deconstruction
  Automator , King Of NY (feat. Dr. Octagon),Zoo York - E.S.T
  The Ocular , Square Heretic,Zoo York - E.S.T
  The Nextmen , Step Below The Surface,Zoo York - E.S.T
 Milk , The Knife Song,Blind - Video Days
 Husker Du , Real World,Blind - Video Days
  Backside , Dear God From Me,Thrasher - Go For Broke
  Superchunk , Why Do You Have To Put A Date On Everything,Thrasher - Go For Broke
  Pavement , Kennel District,Eastern Exposure 3: Underachievers
  Gil Scott,Heron ,Eastern Exposure 3: Underachievers
 Roky Erickson , Night Of The Vampire,Another Trauma
 The Durutti Column , Sketch For Summer,Another Trauma
 The Knife , High School Poem,Another Trauma
 Eddie Grant , Electric Avenue,Church of Skatan - Santa Barbara
 The Romantics , What I Like About You,Church of Skatan - Santa Barbara
 Bmf , Grandmaster,411VM - Issue 38
 Medina Green , Full Court Press,411VM - Issue 38
 April March , Nothing New (remix),411VM - Issue 38
 Rob Zombie , Superbeast,Birdhouse - The End
 Sinatra Guy , Blue Note,Birdhouse - The End
  Tortoise , Djed,Stereo - Tincan Folklore
 Sacred Hoop , 18 to Nothin,Thrasher - Timebomb
  Big In Japan ," You're a Girl, I'm a Boy",Tony Hawk's Secret Skatepark Tour 2
  Bloodthirsty Lovers , Take the Time,Tony Hawk's Secret Skatepark Tour 2
 Fugazi , Long Division,The Reality of Bob Burnquist
 Bob Burnquist , Brazilian Escapades (live),The Reality of Bob Burnquist
 Black Sabbath , N.I.B.,Zero - Misled Youth
 Black Flag , Fix Me,Zero - Misled Youth
 The Doors , Spanish Caravan,Zero - Misled Youth
 Breakestra , Family Rap (feat. Chali),MSM - Mission Street Battle
 Noisy Styles , The Lesson,MSM - Mission Street Battle
 Souls of Mischief , Souls of Mischief,Plan B - Virtual Reality
 Olivelawn , Hate,Plan B - Virtual Reality
 Pedro The Lion , Eye On The Finish Line,411VM - Issue 61
 Sol , The Box Car,411VM - Issue 61
 Shout Out Louds , Never Ever,Project Hardware - Deconstruction
 Heatmiser , Cruel Reminder,Project Hardware - Deconstruction
  Steve See , High Ground By Nightfall,Zoo York - E.S.T
  DJ Shadow , Stem/Long Stem,Zoo York - E.S.T
 War , Low Rider,Blind - Video Days
 Ry Cooder , Canción Mixteca,Blind - Video Days
  Troublemakers , Chez Roger Boite Funk,Thrasher - Go For Broke
  Troublemakers , Hum Hum,Thrasher - Go For Broke
  Wow & Flutter , Nothing To Say,Thrasher - Go For Broke
  Sebadoh , Rebound,Eastern Exposure 3: Underachievers
  Fugazi , In Defense Of Humans,Eastern Exposure 3: Underachievers
 Explosions In The Sky , Day Two,Another Trauma
 Donovan , Poke At The Pope,Another Trauma
 The Concretes , Chico,Another Trauma
 A Tribe Called Quest , Youthful Expression,Church of Skatan - Santa Barbara
 Sex Pistols , Holiday In The Sun,Church of Skatan - Santa Barbara
 Tom Petty & The Heartbreakers , Don't Come Around Here No More,Birdhouse - The End
  Black Holiday , Into The Chambers,Tony Hawk's Secret Skatepark Tour 2
  Your Enemies' Friends , Census,Tony Hawk's Secret Skatepark Tour 2
 Dean ?? & Philip Goff , Girl From ??,The Reality of Bob Burnquist
 Queen , Bohemian Rhapsody,Zero - Misled Youth
 Slayer , South of Heaven,Zero - Misled Youth
 The Who , Baba O'Riley,Zero - Misled Youth
 The Doors , The End,Zero - Misled Youth
  Jinjah Bless ," Lock, Stock","ASM - Lisbon Tour: One For You, One For Me"
 John Style And Arnol , Style And Pattern (feat. Ty),MSM - Mission Street Battle
 Tm Juke , Playground Games,MSM - Mission Street Battle
 Metallica , For Whom The Bell Tolls,Plan B - Virtual Reality
 Casual , A Little Something,Plan B - Virtual Reality
 The New Christs , Spit It Out,411VM - Issue 61
 The Appleseed Cast , Hello Dearest Love,411VM - Issue 61
 Plaid , Eyen,Blueprint - First Broadcast
 Portishead , Wandering Star,Blueprint - First Broadcast
 Sebadoh , Sixteen,Project Hardware - Deconstruction
 Jawbreaker , I Love You So Much It's Killing Us Both,Project Hardware - Deconstruction
 Interpol , Evil,Project Hardware - Deconstruction
 Muse , Map of the Problematique,Join The Dots
 Young Buck , Look At Me Now,Join The Dots
  Jean Knight , Mr. Big Stuff,Cigar City
  Company Flow , Worker Ant Uprise,Zoo York - E.S.T
  The Allies , D,Zoo York - E.S.T
 Gaelic Storm , Scalliwag,The Welcome Video
 Mando Diao , Gloria,The Welcome Video
  The Third Degree , Suicide Ride,Thrasher - Go For Broke
  Superchunk , Cadmium,Eastern Exposure 3: Underachievers
  Metallica ," Damage, Inc.",Eastern Exposure 3: Underachievers
 The Kinks , Lola,Another Trauma
 Sigur Ros , The Nothing Song,Another Trauma
 The Village People , Y.M.C.A.,Church of Skatan - Santa Barbara
 Guru , Choice Of Weapons,Church of Skatan - Santa Barbara
  Beef Wellington , What Are You Laughing At?,Tony Hawk's Secret Skatepark Tour 2
  Classified , Three Beats And A MC,Tony Hawk's Secret Skatepark Tour 2
 Beastie Boys , The Move,Birdhouse - The End
 Propellerheads , On Her Majesty's Secret Service,Birdhouse - The End
 Chorão & Charlie Brown Jr. , Living LA,The Reality of Bob Burnquist
 Ananda & Bob Burnquist , Grind Flow (live),The Reality of Bob Burnquist
 The Rolling Stones , You can't always get what you want,Zero - Misled Youth
 Samhain , The Howl Archangel,Zero - Misled Youth
 Diesler , Downtime,MSM - Mission Street Battle
 Nostalgia 77 , The Turning Point,MSM - Mission Street Battle
  Jon Kennedy , East is East,"ASM - Lisbon Tour: One For You, One For Me"
  Jinjah Bless , Moodest Melody,"ASM - Lisbon Tour: One For You, One For Me"
 Jim Croce , You Don't Mess Around With Jim,Plan B - Virtual Reality
 Jim Croce , Time In a Bottle,Plan B - Virtual Reality
  Lovelight Shine , X,411VM - Issue 61
 MT. Egypt , N.Y.C.,411VM - Issue 61
  Har Mar Superstar , Freedom Summer,411VM - Issue 61
 South , Paint the Silence,Blueprint - First Broadcast
 The Charlatans UK , Viva la Sociale,Blueprint - First Broadcast
 Hot Snakes , Plenty For All,Project Hardware - Deconstruction
 She Wants Revenge , Tear You Apart,Project Hardware - Deconstruction
 Talib Kweli , Ghetto Afterlife (feat. Kool G. Rap),Join The Dots
 The Ponys , I'm With You,Join The Dots
  Mr. Len , Straight 12 (feat. Q,Zoo York - E.S.T
  DJ Q,bert ,Zoo York - E.S.T
  Jethro Tull , Locomotive Breath,Cigar City
  Jeru The Damaja , Invasion,Cigar City
 ? , Mambo Italiano,The Welcome Video
 Kelis ft. Too $hort , Bossy,The Welcome Video
 Justice ft. Simian , We Are Your Friends,The Welcome Video
  Miles Davis , Mystery,Eastern Exposure 3: Underachievers
 Pentagram , Lazylady,Another Trauma
 Dazz Band , Let It Whip,Church of Skatan - Santa Barbara
 Charles Gerhardt/National Philharmonic Orchestra , Main Title,Church of Skatan - Santa Barbara
  Junction 18 , Flooding Up The Deep,Tony Hawk's Secret Skatepark Tour 2
  Champagne Velvet , Sights and Sounds of Texas,Tony Hawk's Secret Skatepark Tour 2
 Peter And The Test Tube Babies , Blown Out Again,Birdhouse - The End
 Sprung Monkey , American Made,Birdhouse - The End
 Sound Tribe Sector 9 , Artifact,The Reality of Bob Burnquist
 Michael Franti & Bob Burnquist , I Know It's Real (live),The Reality of Bob Burnquist
 Chorão & Charlie Brown Jr. ," To Fast To Live, To Young To Die",The Reality of Bob Burnquist
 Ramones , I Wanna Live,Zero - Misled Youth
 Creedence Clearwater Revival , I Heard It Through the Grapevine,Zero - Misled Youth
 Gogol Bordello , I Would Never Wanna Be Young Again,MSM - Mission Street Battle
 J Rawls ," Inhale, Exhale",MSM - Mission Street Battle
  Spotlight Kid , Never's Too Soon,"ASM - Lisbon Tour: One For You, One For Me"
  Six by Seven , Clouds,"ASM - Lisbon Tour: One For You, One For Me"
 The Beatles , With a Little Help From My Friends,Plan B - Virtual Reality
 No Age ," Positive Amputation
",DAZE
 Dead Man's Bones ," Dead Heart
",DAZE
  Har Mar Superstar , Ez Pass,411VM - Issue 61
 Gang Starr , You Know My Steez,411VM - Issue 61
 The Stratford 4 , Where The Ocean Meets The Eye,411VM - Issue 61
 Bison , Primal Emptiness of Outer Space,Thrasher - Under The Bridge
 Hot Lunch , She Wants More,Thrasher - Under The Bridge
 I Am Kloot , To You,Blueprint - First Broadcast
 South , Broken Head,Blueprint - First Broadcast
 Gustavo Santaolalla , Apertura,Project Hardware - Deconstruction
 Nas , Sekou Story,Join The Dots
  The Crooklyn Dodgers , Return Of The Crooklyn Dodgers,Cigar City
  Burning Spear , Tradition,Cigar City
 Bob Marley & The Wailers , Jamming,Church of Skatan - Santa Barbara
  Electric Frankenstein , Fast And Furious,Tony Hawk's Secret Skatepark Tour 2
  Chinatown , Movin Out,Tony Hawk's Secret Skatepark Tour 2
  What Made Milwaukee Famous , Trying To Never Catch Up,Tony Hawk's Secret Skatepark Tour 2
 El Centro , American Made,Birdhouse - The End
 Queens Of The Stone Age , If Only,Birdhouse - The End
 Perry Farrell , Song Yet To Be Sung,The Reality of Bob Burnquist
 Chorão & Charlie Brown Jr. , So Far Away,The Reality of Bob Burnquist
 Gogo Bordello , Sally,MSM - Mission Street Battle
 Breakestra , Recognize,MSM - Mission Street Battle
 Smokey Robinson , Wedding Song,SAR...
 Sun Ra , Space Is The Place,SAR...
  DJ Special Fiend , Round 1 Fight,"ASM - Lisbon Tour: One For You, One For Me"
  The Large Professor , I Juswanna Chill,Battylife
 Casual , Lose In The End,Plan B - Virtual Reality
 Beatnuts , Story,Plan B - Virtual Reality
 Wye Oak ," Dog Eyes
",DAZE
 Atlas Sound ," You're So Fine
",DAZE
 New Order , Temptation,Mesh - Just Mesh In Around
 The Temptations , Cloud Nine,Mesh - Just Mesh In Around
 Rabbit in The Moon , FLooRi.D.A. (LunaSol's Sub,Transworld - Modus Operandi
 Curseovdialect , The Fall Of Houlihan,411VM - Issue 61
  Curseovdialect , Uzveki Westerns,411VM - Issue 61
  Ugly Duckling , Energy Drink,411VM - Issue 61
  The Party Downers , H. Lewis,Thrasher - Under The Bridge
 Toys That Kill , Unity Mitford,Thrasher - Under The Bridge
 Mogwai , 2 Rights Make 1 Wrong,Blueprint - First Broadcast
 Doves , Here It Comes,Blueprint - First Broadcast
 Little Birdy , Bodies,Join The Dots
 Jay,Z ,Join The Dots
 TV On The Radio , Wolf Like Me,Join The Dots
  War , Me & Baby Brother,Cigar City
  Firehouse , Caroms,Cigar City
 Grand Master Flash , Scorpio,Church of Skatan - Santa Barbara
 Agent Orange , Pipeline,Church of Skatan - Santa Barbara
 Kool And The Gang , Celebration,Church of Skatan - Santa Barbara
  Darker My Love , 13 O'Clock,Tony Hawk's Secret Skatepark Tour 2
  Beef Wellington , Dedication,Tony Hawk's Secret Skatepark Tour 2
 Nobody , Syde Trips,Birdhouse - The End
 Refused , New Noise,Birdhouse - The End
 Interfearence , Xtradition (Zero dB remix),The Reality of Bob Burnquist
 Selectracks , Beautiful & Krazy,The Reality of Bob Burnquist
 Breakestra , Stand Up,MSM - Mission Street Battle
 John Style And Arnold , Suppadupe,MSM - Mission Street Battle
 Shy FX & T Power , Sheets (feat. Noel Mccoy),MSM - Mission Street Battle
 Soft Boiled Eggies , Permanence,SAR...
 Girma Hadgu , Ené Alantchi Alnorem (I Can't Live Without You),SAR...
  The Grimm Reaper , So Whatcha Want Nigga,Battylife
  MF Doom , Peach Extract,Battylife
 Rick James , Give It To Me Baby,Plan B - Virtual Reality
 The Offspring , Session,Plan B - Virtual Reality
 Primus , DMV,Plan B - Virtual Reality
 Black Angels ," Empire
",DAZE
 ELO ," 10538 Overture
",DAZE
 A Tribe Called Quest , Scenario,Mesh - Just Mesh In Around
 Billy Joel , Captain Jack,Mesh - Just Mesh In Around
 Devendra Banhart ," Rats 
",The 4 - The Perfect Amount of Lazy
 Bill Callahan ," Diamond Dancer
",The 4 - The Perfect Amount of Lazy
 Sharon Jones & The Dap Kings ," 100 Days 100 Nights
",The 4 - The Perfect Amount of Lazy
 The Jealous Sound , The Fold Out,411VM - Issue 61
  Medeski Martin and Wood , I Wanna Ride You,411VM - Issue 61
 BT , Madskillz,Transworld - Modus Operandi
 Built To Spill , The Plan,Transworld - Modus Operandi
  Toys That Kill , Ass Mirror (& Puckered Lips),Thrasher - Under The Bridge
 The Party Downers , Hi,Thrasher - Under The Bridge
 Headshoppe , Live Recording,Blueprint - First Broadcast
 Mark Jackson & Hastie Castelberg , Yesterday,Blueprint - First Broadcast
 Swan Lake , All Fires,Join The Dots
 The Shins , New Slang,Join The Dots
 Placebo , Meds,Join The Dots
  Dinosaur Jr. , Not You Again,Cigar City
  The Staple Singers , Respect Yourself,Cigar City
  Halfway To Gone , Black Coffy,Tony Hawk's Secret Skatepark Tour 2
  Champagne Velvet , In The Heat and The Rain,Tony Hawk's Secret Skatepark Tour 2
 Charlie Brown Jr. , Malokero Sk8 Board,The Reality of Bob Burnquist
 Wing Suit , Atbeoryaboutjo,The Reality of Bob Burnquist
 Afropolice , Power From,MSM - Mission Street Battle
 Good Men Gone Bad , Lazy,MSM - Mission Street Battle
  Camplo , Sparkle,Battylife
  Young,Holt Unlimited ,Battylife
  Group Home , Suspended In Time,Battylife
  Artifacts , Heavy Ammunition,Battylife
 Buffalo Springfield , For What It's Worth,Plan B - Virtual Reality
 Edgar Needham , Here Comes The Sun,Plan B - Virtual Reality
 Beach Fossils ," Youth
",DAZE
 Pepper Rabbit ," Allison
",DAZE
 Edward Sharpe and the Magnetic Zeros ," Kisses over Babylon
",DAZE
 Fleet Foxes , Ragged Wood,Mesh - Just Mesh In Around
 The Budos Band ," Unbroken, Unshaven",The 4 - The Perfect Amount of Lazy
 Schwab ," DJ's In A Row
",The 4 - The Perfect Amount of Lazy
  CKY , Escape From Hellview,411VM - Issue 61
 Nada Surf , Inside Of Love,411VM - Issue 61
 Marcus B , Superior Spaceman,Transworld - Modus Operandi
 Bowery Electric , Shook Ones,Transworld - Modus Operandi
 Kurupt , Trylogy,Transworld - Modus Operandi
 Bison , Slow Hand Of Death,Thrasher - Under The Bridge
 Hightower , The Dualogy,Thrasher - Under The Bridge
 Toys That Kill , Playdough,Thrasher - Under The Bridge
  The Dwarves , Runaway #2,Tony Hawk's Secret Skatepark Tour 2
 Selectracks , Damaged Goods,The Reality of Bob Burnquist
 Laybac , Pocket Jam,The Reality of Bob Burnquist
 TV On The Radio ," Second Song
",Organika - Graduation: Walker Ryan
 Damu The Fudgemunk , You Know Who!,Organika - Graduation: Walker Ryan
 Lone Catalysts , Ones We Miss,MSM - Mission Street Battle
 Baron , ?,Flip - Extremely Sorry
 Scissor Sisters , Comfortably Numb,Thanks Camera 3
  Nas ft. Mobb Deep , Live Nigga Rap,Battylife
 Los Mirlos , Cumbia De Los Pajaritos,Listen - Viajeros Locos
 Magnetic , Dynamo,Horsefeathers - Shapes
 Sunshine , You (In Your Head),Horsefeathers - Shapes
 Tilt Wheel , 8 1/2,Plan B - Virtual Reality
 Isaac Hayes , Theme From Shaft,Plan B - Virtual Reality
 The Go! Team , Junior Kickstart,The Mo'Fo' - Love Street
 Sissy Wish , DWTS,The Mo'Fo' - Love Street
 The Joy Formatable ," Whirrlings
",DAZE
 Animal Collective ," Loch Raven
",DAZE
 Janis Joplin ," Kozmic Blues
",The 4 - The Perfect Amount of Lazy
 Paul Simon , 50 Ways To Leave Your Lover,The 4 - The Perfect Amount of Lazy
 Miles Davis , Jeru,Mesh - Just Mesh In Around
 Stormy , The Devastator,Mesh - Just Mesh In Around
 Hall & Oates , Maneater,Mesh - Just Mesh In Around
 Spiritualized , Ladies and Gentleman We Are Floating in Space,Transworld - Modus Operandi
 Chad Muska , Master B,Transworld - Modus Operandi
  Diplomats of Solid Sound , Growin' in it,Tony Hawk's Secret Skatepark Tour 2
  The Dwarves , Salt Lake City,Tony Hawk's Secret Skatepark Tour 2
 João Tambor , Skydiving Bob,The Reality of Bob Burnquist
 Sound Tribe Sector 9 ," Music, Us",The Reality of Bob Burnquist
 Baron , Ride On In Peace,Flip - Extremely Sorry
 Baron , Powerhouse,Flip - Extremely Sorry
 David Bowie , Waterloo Sunset,Thanks Camera 3
 Electric Light Orchestra , Shine a Little Love,Thanks Camera 3
